Plot__name,Plot__url,Plot__Price,Plot__Beds,Property__Age,Build__Area,Plot__Area,Plot__Location,Plot__DESC,Plot__Area_Cents,Price_per_sqft,Price_per_cent,Total_Area,Build_to_Plot_Ratio,House_Size_Category,Standardized_Location_Name
"3 Bedroom House for sale in Thattathumala, Trivandrum",https://www.99acres.com/3-bhk-bedroom-independent-house-villa-for-sale-in-thattathumala-trivandrum-4356-sq-ft-r1-spid-M73529963,4500000.0,3.0,7.168076495852669,1300.0,4356.0,83,Mc road 10 1300 sqft 3 Near hospital Near school Near market,10.0,1033.0578512396694,450000.0,5656.0,0.29843893480257117,Medium,thattinakam
"4 Bedroom House for sale in Karyavattom, Trivandrum",https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-future-garden-homes-karyavattom-trivandrum-2352-sq-ft-spid-Q76688483,7400000.0,4.0,7.506209272018898,2200.0,2352.0,28,"5 bhk (G+1 house) with 4 attached bathrooms + 1 kitchen + 2 halls & dining area+ verandah & balcony for urgent sale at very attactive price for immediate buyers. Separate entrances (Gate entry and door entry) are available gf & ff. 2 car parking space & bore well (Drinking water). Recently painted, leak proof coated roof & pest treated red brick house at kariyavattom. Pullanivila junction - Approx. 1 km Technopark - About 4 km Lncpe kurissadu junction - 1 km approx. Land area about 5.4 cents. House area about 2200 sft. Rental value - Rs. 20,000 above.",5.399449035812672,3146.2585034013605,1370510.204081633,4552.0,0.935374149659864,Medium,karyavattom
"4 Bedroom House for sale in Njandoorkonam, Trivandrum",https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-favourite-pebble-gardens-njandoorkonam-trivandrum-1089000-sq-ft-spid-A76684197,14500000.0,4.0,6.909153280235833,2500.0,3049.0,56,"Semi furnished villa, corner plot, 2 sides open within a gated community comprising 78 villas in a 6-Acre plot with all amenities including swimming pool, club house with gym, sauna, squash court, badminton court, kids' play area, a small ground for football/pitch for cricket with led lights, park for children and elders, etc. Kitchen and work area are newly renovated with premium quality aluminum cabinets. Full roof top has aluminium roofing and mesh cover. It is well connected to all important locations and easily accessible from all directions.",6.999540863177226,4755.657592653329,2071564.4473597903,5549.0,0.819940964250574,Medium,njandoorkonam
"2 Bedroom House for sale in Kunnapuzha, Trivandrum",https://www.99acres.com/2-bhk-bedroom-independent-house-villa-for-sale-in-kunnapuzha-trivandrum-1200-sq-ft-spid-C76647213,5500000.0,2.0,8.028511712144317,1200.0,2244.0,40,5.15 cent near church kunnapuzha..School shops hospitals nearby.Now given for rent...,5.151515151515151,2450.9803921568628,1067647.0588235294,3444.0,0.5347593582887701,Small,kunnapuzha
"4 Bedroom House for sale in Venjaramoodu, Trivandrum",https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-venjaramoodu-trivandrum-1001880-sq-ft-r2-spid-J72116662,9000000.0,4.0,0.5574485139708332,2300.0,3267.0,93,4 bed room new house for sale in venjaramoodu near kunnil supermarket for sale. Total area 7.5 cents.,7.5,2754.8209366391184,1200000.0,5567.0,0.7040097949188858,Medium,venjaramoodu
"3 Bedroom House for sale in Puliyarakonam, Trivandrum",https://www.99acres.com/3-bhk-bedroom-independent-house-villa-for-sale-in-puliyarakonam-trivandrum-1200-sq-ft-spid-E76586221,8000000.0,3.0,6.519767786603995,1200.0,3485.0,76,"This is a 3bhk house in puliyarakonam, this property offers an ideal blend of nature and technology. In addition to the house, there is a 3 cent property included in this deal, featuring fertile soil perfect for growing organic food for your family. Just a short 50 meters away is the nearest bus stop. Within a 700-Meter radius, you will find amenities such as a petrol pump, cooperative bank, dairy farm, supermarkets, gym, sbi bank, post office, asianet studio, and many other attractions to discover. The total is 8cent",8.000459136822773,2295.5523672883787,999942.6111908178,4685.0,0.34433285509325684,Medium,puliyarakonam
"1 Bedroom House for sale in Vizhinjam, Trivandrum",https://www.99acres.com/1-bhk-bedroom-independent-house-villa-for-sale-in-vizhinjam-trivandrum-700-sq-ft-spid-F76574457,6500000.0,1.0,6.056411340181809,700.0,4356.0,95,"10 cent house with one attached bedroom,hall, open kitchen and another small kitchen, outside batrhroom.800 mtr from veganoor junction.. 2km from vizhinjm.. 5km from kovalam",10.0,1492.1946740128558,650000.0,5056.0,0.16069788797061524,Small,vizhinjam
"4 Bedroom House for sale in AKG Nagar, Trivandrum",https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-akg-nagar-trivandrum-3000-sq-ft-spid-U76555453,25000000.0,4.0,2.404515718902436,3000.0,3049.0,0,"7.5 cents, 3000 sq. Ft. Independent villa at the meeting point of akg nagar and darshan nagar in peroorkada. Situated in a calm and peaceful residential area, yet very close to the city.",6.999540863177226,8199.40964250574,3571662.8402755004,6049.0,0.9839291571006887,Medium,akg nagar
"3 Bedroom House for sale in Chanthavila, Trivandrum",https://www.99acres.com/3-bhk-bedroom-independent-house-villa-for-sale-in-chanthavila-trivandrum-2000-sq-ft-spid-B76407179,7800000.0,3.0,2.8590671650599324,1600.0,1600.0,75,"1km from kinfra film and it park, just few meters from the kazhakootam-Kilimaanoor highway. Opposite to government upper primary school, chanthavila, 6 km to technopark.",3.6730945821854912,4875.0,2123550.0,3200.0,1.0,Medium,chanthavila
"3 Bedroom House for sale in Vattiyoorkavu, Trivandrum",https://www.99acres.com/3-bhk-bedroom-independent-house-villa-for-sale-in-vattiyoorkavu-trivandrum-1750-sq-ft-spid-X76331999,10000000.0,3.0,0.3056718012092657,1750.0,1851.0,89,"4.25 cent, new house with redbricks construction, 2.5 km from vattiyoorkavu jn.",4.24931129476584,5402.485143165856,2353322.528363047,3601.0,0.9454349000540249,Medium,vattiyoorkavu
