Plot__name,Plot__url,Plot__Price,Plot__Beds,Property__Age,Build__Area,Plot__Area,Plot__Location,Plot__DESC
"3 Bedroom House for sale in Karimanal, Trivandrum",https://www.99acres.com/3-bhk-bedroom-independent-house-villa-for-sale-in-karimanal-trivandrum-12-sq-ft-spid-R76054909,17000000.0,3.0,7.238435819009595,1200.0,5227.0,27,Total 12 cent 1200 sqft house 3 bedroom with attached bathroom 100 m nearest new hospital aster medicity 200 m highway ( Nh bypass) 1.5 km lulu mall 250 m near school ( Mgm school)
"3 Bedroom House for sale in Shangumukham, Trivandrum",https://www.99acres.com/3-bhk-bedroom-independent-house-villa-for-sale-in-shangumukham-trivandrum-1500-sq-ft-spid-S75979865,15000000.0,3.0,7.869057659453943,1500.0,3000.0,79,"I am looking for buyer to purchase house/villa available for sale in shankumugham, trivandrum. Available at price of rs 1.5 crores. It has plot area of 3000 sq ft. It has 3 bhk, 2 bathroom, 1 balcony.It is a freehold property"
"4 Bedroom House for sale in Kallayam, Trivandrum",https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-kallayam-trivandrum-4356-sq-ft-spid-F75853661,8700000.0,4.0,7.208340175094208,2350.0,4356.0,19,"10 cent residential building with 4bhk attached,2350 sqft,nearby school, hospital,margin free market etc200 mtr away from kallayam junction"
"3 Bedroom House for sale in Shangumukham, Trivandrum",https://www.99acres.com/3-bhk-bedroom-independent-house-villa-for-sale-in-shangumukham-trivandrum-3049-sq-ft-spid-Q75733307,18500000.0,3.0,7.461917150372554,3000.0,3049.0,79,"Experience the perfect fusion of comfort and convenience with this exceptional property! Nestled in the heart of all saints, trivandrum, this home sits on a spacious 7-Cent plot, with 6 years old 3bhk house covering 3000 square feet."
"4 Bedroom House for sale in Manikanteswaram, Trivandrum",https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-manikanteswaram-trivandrum-1956-sq-ft-spid-W75730451,15000000.0,4.0,3.061864006922669,1956.0,1722.0,44,"2 storied - 4 bhk villa, near manikanteswaram temple. Video available."
"3 Bedroom House for sale in Thirumala, Trivandrum",https://www.99acres.com/3-bhk-bedroom-independent-house-villa-for-sale-in-thirumala-trivandrum-1400-sq-ft-spid-T75700919,9700000.0,3.0,0.5601105459376933,1400.0,2614.0,84,House is constructed in main road in perkavu...It's has totally 6.05 cent house is constructed only 1400 sqft..Other side of area is can be used gardening or commercial purpose on your choose .97 lakhs is slightly negotiable.... Contact for more details and visiting the property ....All transport facilities is available.. Road sided house ... Nearby temple and church is here...Well facility available....
"3 Bedroom House for sale in MEDICAL COLLEGE, Trivandrum",https://www.99acres.com/3-bhk-bedroom-independent-house-villa-for-sale-in-trivandrum-1750-sq-ft-r4-spid-U58294022,12000000.0,3.0,0.35112268254152823,1750.0,1102.0,87,"An impeccable opportunity is here for those who are looking to rent aesthetically designed independent house in ulloor, trivandrum, kerala which ensures a relaxed and comfortable stay. Being an independent twin house it provides you a serene and tranquil environment with a modern setup. This house provides ample natural light and has good ventilation that invites comfort. Basic details: You will love this house is which is constructed on a built up area of 3130 sq. Ft. (1750 & 1380 sqft) and features 3 bedrooms, 3 bathrooms,living / dining, study room and a modular kitchen for each house unit. Ground floor can be used for commercial purpose as well. Furnishings and amenities: The house is a semi-Furnished unit and awaits your personal touch. It consists of exhaust fan, chimney and comes with basic facilities like lights, fans and bathroom fixtures. It has spacious interiors and 24*7 water facility. Apart from this, you will love the convenience of your own covered and open parking spots. The amenities include water storage, visitor parking and park. There is plenty of room for the whole family to enjoy. The property is a quality construction. Location: The property is close to all basic facilities. The prime location provides the residents with access to the very best. The house is situated in a family friendly neighborhood. Moreover, the property has great connectivity with other parts of the city. -Major banks and atms located within a close radius -Several schools located within proximity -Close to medical college -Located just 300 m from the main road -400 m away from medical college bus stand -Ulloor junction is 500 m away -National highway 47 at a distance of 500 m -Technopark near by -S. Thomas college near by -Easy access to public transport"
"3 Bedroom House for sale in Puliyarakonam, Trivandrum",https://www.99acres.com/3-bhk-bedroom-independent-house-villa-for-sale-in-puliyarakonam-trivandrum-1036-sq-ft-r5-spid-F38209571,5000000.0,3.0,2.875843421451115,1036.0,4356.0,76,Walkable distance from st marys school puliyarakkonam.Half kilometre from puliyarakonam junction.3kms from vattiyoorkavu.Price negotiable.
"3 Bedroom House for sale in Kattakkada, Trivandrum",https://www.99acres.com/3-bhk-bedroom-independent-house-villa-for-sale-in-kattakkada-trivandrum-3049-sq-ft-spid-K75564725,4100000.0,3.0,6.0620033979416945,1200.0,3049.0,30,"1200 sq feet, villa type, gated house in 7 cents of plot. Located in aamachal, 4 km from kattakkada town. All bedrooms, with built in rose wood cupboards. Villa type house and modern type kitchen. Owner abroad, very rarely used, for immediate sale. Rose wood annu door and windows 3 bedroom house and one attached bathroom and one common bathroom"
"4 Bedroom House for sale in Peyad, Trivandrum",https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-peyad-trivandrum-2000-sq-ft-spid-X75506417,8800000.0,4.0,0.4739237437211241,1000.0,2000.0,68,"2bhk house located at300mtrs distance fromthachotkav junction, a villa project"
